Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis,Gain,Currency,Unmatched,AcquiredAccount,AcquiredId,SoldAccount,SoldId
1.19751486,ETH,22/04/2018,25/04/2018,2722.65,2650.13,72.52,ILS,,Binance,21701715-59143886,Binance,22089924-60232135
0.1,ETH,25/04/2018,25/04/2018,227.35,229.41,-2.06,ILS,,Binance,3709314-15569261,Binance,22089933-60232135
0.34842,ETH,25/04/2018,25/04/2018,792.15,799.33,-7.18,ILS,,Binance,3709314-15569261,Binance,22089932-60232135
0.15433514,ETH,25/04/2018,25/04/2018,350.89,354.07,-3.18,ILS,,Binance,3709314-15569261,Binance,22089924-60232135
1.1376783,ETH,25/04/2018,25/04/2018,2586.56,2610,-23.44,ILS,,Binance,3709314-15569261,Binance,22089937-60232135
0.27228834,ETH,25/04/2018,25/04/2018,619.06,624.67,-5.61,ILS,,Binance,11133536-27923999,Binance,22089937-60232135
0.00457,ETH,25/04/2018,25/04/2018,10.39,10.48,-0.09,ILS,,Binance,11133538-27923999,Binance,22089939-60232135
0.67902336,ETH,25/04/2018,25/04/2018,1543.79,1557.78,-13.99,ILS,,Binance,11133538-27923999,Binance,22089937-60232135
0.0006297,USDT,21/04/2018,25/04/2018,0,0,0,ILS,,Binance,21577285-58753109,Binance,22097872-60246980
619.1524503,USDT,25/04/2018,25/04/2018,2205.1,2207.31,-2.21,ILS,,Binance,22089924-60232135,Binance,22097872-60246980
2.27199,USDT,25/04/2018,25/04/2018,8.09,8.1,-0.01,ILS,,Binance,22089924-60232135,Binance,22097878-60246980
0.021818,ETH,25/04/2018,25/04/2018,50,50.05,-0.05,ILS,,Binance,11133538-27923999,Binance,11135673-27930341
0.93173769,ETH,25/04/2018,25/04/2018,2135.4,2137.54,-2.14,ILS,,Binance,11133538-27923999,Binance,11135677-27930341
527.8292069,USDT,25/04/2018,25/04/2018,1879.86,1881.74,-1.88,ILS,,Binance,22089924-60232135,Binance,22112639-60284198
1336.46144,USDT,25/04/2018,25/04/2018,4759.79,4764.55,-4.76,ILS,,Binance,22089937-60232135,Binance,22112639-60284198
0.2439186,ETH,25/04/2018,25/04/2018,559.02,559.58,-0.56,ILS,,Binance,11133538-27923999,Binance,3711489-15583425
0.22441157,ETH,25/04/2018,25/04/2018,514.32,520.83,-6.51,ILS,,Binance,22097872-60246980,Binance,3711489-15583425
0.72571735,ETH,25/04/2018,25/04/2018,1663.23,1684.28,-21.05,ILS,,Binance,22097872-60246980,Binance,3711490-15583425
0.00348651,ETH,25/04/2018,25/04/2018,7.99,8.09,-0.1,ILS,,Binance,22097878-60246980,Binance,3711490-15583425
0.21335699,ETH,25/04/2018,25/04/2018,488.98,502.02,-13.04,ILS,,Binance,22112639-60284198,Binance,3711490-15583425
1.41095208,ETH,25/04/2018,25/04/2018,3233.69,3319.93,-86.24,ILS,,Binance,22112639-60284198,Binance,11149519-27952327
0.04426538,BTC,27/04/2018,27/04/2018,1462.99,0,1462.99,ILS,Y,,,Binance,24796591-45678323
0.00837,ICX,22/04/2018,29/04/2018,0.14,0.1,0.04,ILS,,Binance,3654831-15221573,Binance,3821406-16217525
76.91301,ICX,25/04/2018,29/04/2018,1247.58,1073.34,174.24,ILS,,Binance,3711489-15583425,Binance,3821406-16217525
154.78862,ICX,25/04/2018,29/04/2018,2510.77,2160.12,350.65,ILS,,Binance,3711490-15583425,Binance,3821406-16217525
0.008,TRX,22/04/2018,29/04/2018,0,0,0,ILS,,Binance,10960072-27322430,Binance,11364685-28861817
199.8,TRX,25/04/2018,29/04/2018,60.51,50,10.51,ILS,,Binance,11135673-27930341,Binance,11364685-28861817
8532.459,TRX,25/04/2018,29/04/2018,2583.91,2135.4,448.51,ILS,,Binance,11135677-27930341,Binance,11364685-28861817
9209.391,TRX,25/04/2018,29/04/2018,2788.9,2315.17,473.73,ILS,,Binance,11149519-27952327,Binance,11364687-28861817
2440.733,TRX,25/04/2018,29/04/2018,739.13,613.58,125.55,ILS,,Binance,11149519-27952327,Binance,11364685-28861817
1213,TRX,25/04/2018,29/04/2018,367.34,304.94,62.4,ILS,,Binance,11149519-27952327,Binance,11364686-28861817
3337,TRX,27/04/2018,29/04/2018,1010.55,879.88,130.67,ILS,,Binance,24796591-45678323,Binance,11364689-28861817
1402.609,TRX,27/04/2018,29/04/2018,424.76,369.83,54.93,ILS,,Binance,24796591-45678323,Binance,11364687-28861817
808,TRX,27/04/2018,29/04/2018,244.69,213.05,31.64,ILS,,Binance,24796591-45678323,Binance,11364688-28861817
0.07809,ETH,25/04/2018,29/04/2018,187.58,183.74,3.84,ILS,,Binance,22112639-60284198,Binance,22759267-62276265
1.11941629,ETH,25/04/2018,29/04/2018,2688.94,2633.95,54.99,ILS,,Binance,22112639-60284198,Binance,22759288-62276265
1.07220371,ETH,29/04/2018,29/04/2018,2575.53,2631.63,-56.1,ILS,,Binance,3821406-16217525,Binance,22759288-62276265
0.46064553,ETH,29/04/2018,29/04/2018,1106.51,1130.62,-24.11,ILS,,Binance,3821406-16217525,Binance,22759302-62276265
2.15485447,ETH,29/04/2018,29/04/2018,5176.15,5288.91,-112.76,ILS,,Binance,11364685-28861817,Binance,22759302-62276265
0.00653027,USDT,25/04/2018,29/04/2018,0.02,0.02,0,ILS,,Binance,22089937-60232135,Binance,22763360-62283326
52.33194947,USDT,29/04/2018,29/04/2018,187.58,187.77,-0.19,ILS,,Binance,22759267-62276265,Binance,22763360-62283326
1468.712346,USDT,29/04/2018,29/04/2018,5264.47,5269.74,-5.27,ILS,,Binance,22759288-62276265,Binance,22763360-62283326
1752.769986,USDT,29/04/2018,29/04/2018,6282.65,6288.94,-6.29,ILS,,Binance,22759302-62276265,Binance,22763360-62283326
1.19747893,ETH,29/04/2018,29/04/2018,2936.17,2939.11,-2.94,ILS,,Binance,11364685-28861817,Binance,7447823-26500172
1.22802107,ETH,29/04/2018,29/04/2018,3011.06,2970.62,40.44,ILS,,Binance,22763360-62283326,Binance,7447823-26500172
1.21285772,ETH,29/04/2018,29/04/2018,2973.88,2933.94,39.94,ILS,,Binance,22763360-62283326,Binance,3823258-16222747
0.69281812,ETH,29/04/2018,29/04/2018,1698.76,1675.95,22.81,ILS,,Binance,22763360-62283326,Binance,11366990-28868046
0.51983248,ETH,29/04/2018,29/04/2018,1274.61,1257.49,17.12,ILS,,Binance,22763360-62283326,Binance,11367115-28868046
80.76,EOS,29/04/2018,29/04/2018,5725.76,5946.56,-220.8,ILS,,Binance,7447823-26500172,Binance,7477019-26571149
0.00643,ICX,25/04/2018,29/04/2018,0.1,0.09,0.01,ILS,,Binance,3711490-15583425,Binance,3826323-16239022
142.81,ICX,29/04/2018,29/04/2018,2295.83,2323.21,-27.38,ILS,,Binance,3823258-16222747,Binance,3826324-16239022
39.99357,ICX,29/04/2018,29/04/2018,643.14,650.61,-7.47,ILS,,Binance,3823258-16222747,Binance,3826323-16239022
0.837,TRX,27/04/2018,29/04/2018,0.25,0.22,0.03,ILS,,Binance,24796591-45678323,Binance,11372909-28891030
5533.461,TRX,29/04/2018,29/04/2018,1643.99,1698.76,-54.77,ILS,,Binance,11366990-28868046,Binance,11372909-28891030
4151.702,TRX,29/04/2018,29/04/2018,1233.47,1274.57,-41.1,ILS,,Binance,11367115-28868046,Binance,11372909-28891030
1.19747475,ETH,29/04/2018,29/04/2018,2885.4,2896.73,-11.33,ILS,,Binance,22763360-62283326,Binance,22779384-62334072
1.40252525,ETH,29/04/2018,29/04/2018,3379.49,3442.38,-62.89,ILS,,Binance,7477019-26571149,Binance,22779384-62334072
0.5,ETH,29/04/2018,29/04/2018,1204.79,1227.21,-22.42,ILS,,Binance,7477019-26571149,Binance,22779385-62334072
0.43265467,ETH,29/04/2018,29/04/2018,1042.51,1061.91,-19.4,ILS,,Binance,7477019-26571149,Binance,22779386-62334072
1.17481533,ETH,29/04/2018,29/04/2018,2830.8,2883.48,-52.68,ILS,,Binance,3826323-16239022,Binance,22779386-62334072
0.00001,ETH,29/04/2018,29/04/2018,0.02,0.02,0,ILS,,Binance,3826323-16239022,Binance,22779387-62334072
0.0051939,USDT,29/04/2018,29/04/2018,0.02,0.02,0,ILS,,Binance,22759302-62276265,Binance,22785591-62353818
1747.816434,USDT,29/04/2018,29/04/2018,6264.89,6271.17,-6.28,ILS,,Binance,22779384-62334072,Binance,22785591-62353818
1416.721909,USDT,29/04/2018,29/04/2018,5078.12,5083.2,-5.08,ILS,,Binance,22779385-62334072,Binance,22785591-62353818
0.02383684,ETH,29/04/2018,29/04/2018,58.45,58.51,-0.06,ILS,,Binance,3826323-16239022,Binance,3827158-16245994
0.62933316,ETH,29/04/2018,29/04/2018,1543.1,1544.64,-1.54,ILS,,Binance,11372909-28891030,Binance,3827158-16245994
0.54430697,ETH,29/04/2018,29/04/2018,1334.62,1335.96,-1.34,ILS,,Binance,11372909-28891030,Binance,3827160-16245994
